Age,Height,Weight,Team,Year,Host_City,Event,GDP_adjustedPPP_Value,Cereal_yield_kg_per_hectare_Value,Military_expenditure_Value,Tax_revenue,Expense,Central_government_debt,Avg_Temp,Representing_Host,Medal_Binary
21.0,187.0,76.0,Russian Federation,1972,Munich,Athletics Men's 400 metres Hurdles,1188578475445.01,1743.2,7766720078.413421,133630364335.37096,321485421614.6354,1710946824072.3472,-5.1,N,0
25.0,187.0,76.0,Russian Federation,1976,Montreal,Athletics Men's 400 metres Hurdles,1188578475445.01,1743.2,7766720078.413421,133630364335.37096,321485421614.6354,1710946824072.3472,-5.1,N,1
25.0,187.0,76.0,Russian Federation,1976,Montreal,Athletics Men's 4 x 400 metres Relay,1188578475445.01,1743.2,7766720078.413421,133630364335.37096,321485421614.6354,1710946824072.3472,-5.1,N,0
22.0,191.0,75.0,Russian Federation,1968,Mexico City,Athletics Men's High Jump,1188578475445.01,1743.2,7766720078.413421,133630364335.37096,321485421614.6354,1710946824072.3472,-5.1,N,1
25.0,181.0,80.0,United States,2008,Beijing,Athletics Men's 100 metres,14718582000000.0,6598.3,621131000000.0,1517800000000.0002,3366400000000.003,9425376000000.004,8.55,N,0
25.0,181.0,80.0,United States,2008,Beijing,Athletics Men's 4 x 100 metres Relay,14718582000000.0,6598.3,621131000000.0,1517800000000.0002,3366400000000.003,9425376000000.004,8.55,N,0
29.0,181.0,80.0,United States,2012,London,Athletics Men's 100 metres,16197007000000.0,5911.9,684780000000.0,1586799999999.9995,3887200000000.0034,15251655000000.004,8.55,N,0
29.0,181.0,80.0,United States,2012,London,Athletics Men's 4 x 100 metres Relay,16197007000000.0,5911.9,684780000000.0,1586799999999.9995,3887200000000.0034,15251655000000.004,8.55,N,0
33.0,181.0,80.0,United States,2016,Rio de Janeiro,Athletics Men's 4 x 100 metres Relay,18707189000000.0,8142.9,600106443000.0,2054599999999.9998,4225400000000.0005,18523318000000.004,8.55,N,0
21.0,175.0,67.0,Chad,1988,Seoul,"Athletics Men's 1,500 metres",4274296585.36667,734.4,77892079.1813274,678817409.2897811,1035919275.9560854,2531051779.2995024,26.55,N,0
28.0,175.0,67.0,Spain,1972,Munich,Athletics Men's 800 metres,529657688852.408,1611.1,1256164585.70101,84259870851.92809,130873603409.63283,9007509130900.023,13.3,N,0
23.0,188.0,74.0,Spain,2004,Athina,Athletics Men's Pole Vault,1123697811357.77,3750.1,15262458636.7672,168134631891.19653,199117133710.9341,485103266044.5595,13.3,N,0
23.0,190.0,79.0,Nigeria,2012,London,Athletics Men's Long Jump,901713561532.182,1399.7,2316478199.86159,14085642182.483074,46493088092.15452,94274846686.58224,26.8,N,0
24.0,178.0,65.0,Czech Republic,2016,Rio de Janeiro,Athletics Men's 50 kilometres Walk,372257396855.09,6317.3,1954935000.04528,54630527122.42001,122702400745.14095,52800910865.33013,7.55,N,0
23.0,170.0,63.0,Ethiopia,1972,Munich,Athletics Men's 100 metres,20257819022.4412,1313.0,41043478.26086961,1750111407.4776413,3258520477.0925517,9795254505.03101,22.2,N,0
